time_ms,mode,head,roll,pitch,lvol,rvol,bus_v,current_ma,audio_rail,fault
1117,ACTIVE,CENTER,,,,,0.000,,ON,0x00
1319,ACTIVE,CENTER,,,,,4.964,,ON,0x00
1548,ACTIVE,CENTER,,,,,4.964,,ON,0x00
1777,ACTIVE,CENTER,,,,,4.964,,ON,0x00
2006,ACTIVE,CENTER,,,,,4.964,,ON,0x00
2235,ACTIVE,CENTER,,,,,4.964,,ON,0x00
2464,ACTIVE,CENTER,,,,,4.964,,ON,0x00
2694,ACTIVE,CENTER,,,,,4.964,,ON,0x00
2923,ACTIVE,CENTER,,,,,4.964,,ON,0x00
3152,ACTIVE,CENTER,,,,,4.964,,ON,0x00
3381,ACTIVE,CENTER,,,,,4.964,,ON,0x00
3610,ACTIVE,CENTER,,,,,4.964,,ON,0x00
3823,ACTIVE,CENTER,,,,,4.960,,ON,0x00
4052,ACTIVE,CENTER,,,,,4.964,,ON,0x00
4281,ACTIVE,CENTER,,,,,4.964,,ON,0x00
4511,ACTIVE,CENTER,,,,,4.964,,ON,0x00
4740,ACTIVE,CENTER,,,,,4.968,,ON,0x00
4969,ACTIVE,CENTER,,,,,4.964,,ON,0x00
5198,ACTIVE,CENTER,,,,,4.964,,ON,0x00
5427,ACTIVE,CENTER,,,,,4.964,,ON,0x00
5656,ACTIVE,CENTER,,,,,4.964,,ON,0x00
5885,ACTIVE,CENTER,,,,,4.964,,ON,0x00
6114,ACTIVE,CENTER,,,,,4.964,,ON,0x00
6343,ACTIVE,CENTER,,,,,4.968,,ON,0x00
6572,ACTIVE,CENTER,,,,,4.964,,ON,0x00
6788,ACTIVE,CENTER,,,,,4.960,,ON,0x00
7017,ACTIVE,CENTER,,,,,4.960,,ON,0x00
7246,ACTIVE,CENTER,,,,,4.960,,ON,0x00
7476,ACTIVE,CENTER,,,,,4.964,,ON,0x00
7705,ACTIVE,CENTER,,,,,4.964,,ON,0x00
7934,ACTIVE,CENTER,,,,,4.964,,ON,0x00
8163,ACTIVE,CENTER,,,,,4.964,,ON,0x00
8392,ACTIVE,CENTER,,,,,4.960,,ON,0x00
8621,ACTIVE,CENTER,,,,,4.964,,ON,0x00
8850,ACTIVE,CENTER,,,,,4.960,,ON,0x00
9079,ACTIVE,CENTER,,,,,4.964,,ON,0x00
9308,ACTIVE,CENTER,,,,,4.964,,ON,0x00
9537,ACTIVE,CENTER,,,,,4.964,,ON,0x00
9751,ACTIVE,CENTER,,,,,4.964,,ON,0x00
9980,ACTIVE,CENTER,,,,,4.968,,ON,0x00
10209,ACTIVE,CENTER,,,,,4.964,,ON,0x00
10438,ACTIVE,CENTER,,,,,4.964,,ON,0x00
10667,ACTIVE,CENTER,,,,,4.964,,ON,0x00
10896,ACTIVE,CENTER,,,,,4.964,,ON,0x00
11125,ACTIVE,CENTER,,,,,4.964,,ON,0x00
11354,ACTIVE,CENTER,,,,,4.964,,ON,0x00
11583,ACTIVE,CENTER,,,,,4.964,,ON,0x00
11813,ACTIVE,CENTER,,,,,4.964,,ON,0x00
12042,ACTIVE,CENTER,,,,,4.964,,ON,0x00
12271,ACTIVE,CENTER,,,,,4.964,,ON,0x00
12500,ACTIVE,CENTER,,,,,4.964,,ON,0x00
12716,ACTIVE,CENTER,,,,,4.964,,ON,0x00
12945,ACTIVE,CENTER,,,,,4.964,,ON,0x00
13174,ACTIVE,CENTER,,,,,4.964,,ON,0x00
13403,ACTIVE,CENTER,,,,,4.964,,ON,0x00
13632,ACTIVE,CENTER,,,,,4.964,,ON,0x00
13861,ACTIVE,CENTER,,,,,4.964,,ON,0x00
14090,ACTIVE,CENTER,,,,,4.964,,ON,0x00
14319,ACTIVE,CENTER,,,,,4.964,,ON,0x00
14548,ACTIVE,CENTER,,,,,4.964,,ON,0x00
14777,ACTIVE,CENTER,,,,,4.964,,ON,0x00
15006,ACTIVE,CENTER,,,,,4.960,,ON,0x00
15236,ACTIVE,CENTER,,,,,4.964,,ON,0x00
15465,ACTIVE,CENTER,,,,,4.964,,ON,0x00
15678,ACTIVE,CENTER,,,,,4.964,,ON,0x00
15907,ACTIVE,CENTER,,,,,4.964,,ON,0x00
16136,ACTIVE,CENTER,,,,,4.968,,ON,0x00
16365,ACTIVE,CENTER,,,,,4.964,,ON,0x00
16594,ACTIVE,CENTER,,,,,4.964,,ON,0x00
16823,ACTIVE,CENTER,,,,,4.964,,ON,0x00
17053,ACTIVE,CENTER,,,,,4.964,,ON,0x00
17282,ACTIVE,CENTER,,,,,4.968,,ON,0x00
17511,ACTIVE,CENTER,,,,,4.964,,ON,0x00
